BusinessName,Yelp URL,Google Review Link,Average Rating,Total Ratings,Address
% Arabica,https://www.yelp.com/biz/arabica-brooklyn?osq=coffee,https://www.google.com/search?q=%+Arabica20+Old+Fulton+St+Brooklyn+NY+11201,4.3,232,"20 Old Fulton St, Brooklyn, NY 11201","% Arabica
20 Old Fulton St
Ho Ho Té,https://www.yelp.com/biz/ho-ho-t%C3%A9-new-york-2?osq=boba,https://www.google.com/search?q=Ho+Ho+Té805+8th+Ave+New+York+NY+10019,4.0,186,"805 8th Ave, New York, NY 10019","Ho Ho Té
805 8th Ave
New York, NY 10019"
Teado Tea Shop,https://www.yelp.com/biz/teado-tea-shop-new-york-6?osq=boba,https://www.google.com/search?q=Teado+Tea+Shop145D+Hester+St+New+York+NY+10002,4.5,496,"145D Hester St, New York, NY 10002","Teado Tea Shop
145D Hester St
New York, NY 10002"
Möge Tee,https://www.yelp.com/biz/m%C3%B6ge-tee-new-york-25?osq=boba,https://www.google.com/search?q=Möge+Tee379+1st+Avenue+New+York+NY+10010,4.2,67,"379 1st Avenue, New York, NY 10010","Möge Tee
379 1st Avenue
New York, NY 10010"
Hercules Cafe,https://www.yelp.com/biz/hercules-cafe-new-york?osq=boba,https://www.google.com/search?q=Hercules+Cafe275+Bleecker+St+New+York+NY+10014,4.3,22,"275 Bleecker St, New York, NY 10014","Hercules Cafe
275 Bleecker St
New York, NY 10014"
Mango Mango Dessert,https://www.yelp.com/biz/mango-mango-dessert-new-york-8?osq=boba,https://www.google.com/search?q=Mango+Mango+Dessert23+St+Marks+Pl+New+York+NY+10003,4.0,575,"23 St Marks Pl, New York, NY 10003","Mango Mango Dessert
23 St Marks Pl
New York, NY 10003"
mochii,https://www.yelp.com/biz/mochii-new-york-4?osq=boba,https://www.google.com/search?q=mochii116+E+7th+St+New+York+NY+10009,4.2,222,"116 E 7th St, New York, NY 10009","mochii
116 E 7th St
New York, NY 10009"
N/A,https://www.yelp.com/biz/sanmiwago-new-york-5?osq=boba,https://www.google.com/search?q=N/AN/A,N/A,N/A,N/A,"N/A
116 E 7th St
New York, NY 10009"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-new-york-9?osq=boba,https://www.google.com/search?q=ViVi+Bubble+Tea607+9th+Ave+New+York+NY+10036,3.7,331,"607 9th Ave, New York, NY 10036","ViVi Bubble Tea
607 9th Ave
New York, NY 10036"
I&#x27;Milky - Long Island City,https://www.yelp.com/biz/imilky-long-island-city-long-island-city-2?osq=boba,https://www.google.com/search?q=I&#x27;Milky+-+Long+Island+CityN/A,4.8,50,N/A,"I&#x27;Milky - Long Island City
2243 Jackson Ave
Long Island City, NY 11101</span></p></"
Tea and Milk,https://www.yelp.com/biz/tea-and-milk-astoria?osq=boba,https://www.google.com/search?q=Tea+and+Milk32-02+34th+Ave+Astoria+NY+11106,4.5,503,"32-02 34th Ave, Astoria, NY 11106","Tea and Milk
32-02 34th Ave
Astoria, NY 11106"
Tiger Sugar,https://www.yelp.com/biz/tiger-sugar-new-york-city?osq=boba,https://www.google.com/search?q=Tiger+SugarN/A,4.2,100,N/A,"Tiger Sugar
1250 Broadway
Ste C</span></p><p class="" css-1sb02f4"""
Softbite,https://www.yelp.com/biz/softbite-new-york-2?osq=boba,https://www.google.com/search?q=Softbite4260+Crescent+St+New+York+NY+10001,3.9,14,"4260 Crescent St, New York, NY 10001","Softbite
4260 Crescent St
New York, NY 10001"
Her Boba,https://www.yelp.com/biz/her-boba-new-york?osq=boba,https://www.google.com/search?q=Her+Boba457+W+50th+St+New+York+NY+10019,4.6,16,"457 W 50th St, New York, NY 10019","Her Boba
457 W 50th St
New York, NY 10019"
Surreal Creamery,https://www.yelp.com/biz/surreal-creamery-new-york-2?osq=boba,https://www.google.com/search?q=Surreal+Creamery538+2nd+Ave+New+York+NY+10016,4.3,447,"538 2nd Ave, New York, NY 10016","Surreal Creamery
538 2nd Ave
New York, NY 10016"
Whistle &amp; Fizz,https://www.yelp.com/biz/whistle-and-fizz-new-york-4?osq=boba,https://www.google.com/search?q=Whistle+&amp;+Fizz254+Greene+St+New+York+NY+10003,4.9,279,"254 Greene St, New York, NY 10003","Whistle &amp; Fizz
254 Greene St
New York, NY 10003"
Bao by Kaya,https://www.yelp.com/biz/bao-by-kaya-new-york-4?osq=boba,https://www.google.com/search?q=Bao+by+Kaya570+Lexington+Ave+New+York+NY+10022,3.9,222,"570 Lexington Ave, New York, NY 10022","Bao by Kaya
570 Lexington Ave
New York, NY 10022"
Machi Machi,https://www.yelp.com/biz/machi-machi-new-york?osq=boba,https://www.google.com/search?q=Machi+Machi33+W+32nd+St+New+York+NY+10001,3.7,362,"33 W 32nd St, New York, NY 10001","Machi Machi
33 W 32nd St
New York, NY 10001"
Koo Thai,https://www.yelp.com/biz/koo-thai-new-york-2?osq=boba,https://www.google.com/search?q=Koo+Thai1758+1st+Ave+New+York+NY+10128,4.7,15,"1758 1st Ave, New York, NY 10128","Koo Thai
1758 1st Ave
New York, NY 10128"
Gong Cha,https://www.yelp.com/biz/gong-cha-new-york-26?osq=boba,https://www.google.com/search?q=Gong+ChaN/A,4.0,70,N/A,"Gong Cha
200 Broadway
Fulton Center</span></p><p class="" css-"
Mango Mango,https://www.yelp.com/biz/mango-mango-long-island-city?osq=boba,https://www.google.com/search?q=Mango+MangoN/A,4.6,84,N/A,"Mango Mango
47-43 Vernon Blvd
Long Island City, NY 11101</span></p></"
Jooy Tea Shoppe,https://www.yelp.com/biz/jooy-tea-shoppe-brooklyn-6?osq=boba,https://www.google.com/search?q=Jooy+Tea+Shoppe2049+86th+St+Brooklyn+NY+11214,4.2,35,"2049 86th St, Brooklyn, NY 11214","Jooy Tea Shoppe
2049 86th St
Brooklyn, NY 11214"
Song Tea,https://www.yelp.com/biz/song-tea-new-york?osq=boba,https://www.google.com/search?q=Song+Tea488+7th+Ave+New+York+NY+10018,3.5,30,"488 7th Ave, New York, NY 10018","Song Tea
488 7th Ave
New York, NY 10018"
Cafe at Klom Klorm,https://www.yelp.com/biz/cafe-at-klom-klorm-brooklyn?osq=boba,https://www.google.com/search?q=Cafe+at+Klom+Klorm371+Himrod+St+Brooklyn+NY+11237,4.4,54,"371 Himrod St, Brooklyn, NY 11237","Cafe at Klom Klorm
371 Himrod St
Brooklyn, NY 11237"
Prince Tea House,https://www.yelp.com/biz/prince-tea-house-new-york-4?osq=boba,https://www.google.com/search?q=Prince+Tea+House134+Bowery+New+York+NY+10013,4.0,240,"134 Bowery, New York, NY 10013","Prince Tea House
134 Bowery
New York, NY 10013"
Prince Tea House,https://www.yelp.com/biz/prince-tea-house-new-york-6?osq=boba,https://www.google.com/search?q=Prince+Tea+House204+E+10th+St+New+York+NY+10003,4.4,344,"204 E 10th St, New York, NY 10003","Prince Tea House
204 E 10th St
New York, NY 10003"
Hawa Smoothies &amp; Bubble Tea,https://www.yelp.com/biz/hawa-smoothies-and-bubble-tea-brooklyn-3?osq=boba,https://www.google.com/search?q=Hawa+Smoothies+&amp;+Bubble+Tea295+Broadway+Brooklyn+NY+11211,4.3,51,"295 Broadway, Brooklyn, NY 11211","Hawa Smoothies &amp; Bubble Tea
295 Broadway
Brooklyn, NY 11211"
Möge Tee,https://www.yelp.com/biz/m%C3%B6ge-tee-new-york-26?osq=boba,https://www.google.com/search?q=Möge+Tee69+Cooper+Square+New+York+NY+10003,3.6,135,"69 Cooper Square, New York, NY 10003","Möge Tee
69 Cooper Square
New York, NY 10003"
Upwind Milk Tea Bar,https://www.yelp.com/biz/upwind-milk-tea-bar-brooklyn?osq=boba,https://www.google.com/search?q=Upwind+Milk+Tea+Bar5901+8th+Ave+Brooklyn+NY+11220,4.3,3,"5901 8th Ave, Brooklyn, NY 11220","Upwind Milk Tea Bar
5901 8th Ave
Brooklyn, NY 11220"
PARTEA NYC - Union Square,https://www.yelp.com/biz/partea-nyc-union-square-new-york?osq=boba,https://www.google.com/search?q=PARTEA+NYC+-+Union+Square220+E+14th+St+New+York+NY+10003,4.3,38,"220 E 14th St, New York, NY 10003","PARTEA NYC - Union Square
220 E 14th St
New York, NY 10003"
mochidoki,https://www.yelp.com/biz/mochidoki-new-york-3?osq=boba,https://www.google.com/search?q=mochidoki176+Spring+St+New+York+NY+10012,4.2,140,"176 Spring St, New York, NY 10012","mochidoki
176 Spring St
New York, NY 10012"
TEGUK,https://www.yelp.com/biz/teguk-new-york?osq=boba,https://www.google.com/search?q=TEGUK246+Mott+St+New+York+NY+10012,3.7,10,"246 Mott St, New York, NY 10012","TEGUK
246 Mott St
New York, NY 10012"
Bar Pa Tea,https://www.yelp.com/biz/bar-pa-tea-new-york-3?osq=boba,https://www.google.com/search?q=Bar+Pa+TeaN/A,5.0,6,N/A,"Bar Pa Tea
<strong>2.0 miles</strong> away from Bar
New York, NY 10012"
U-Crew,https://www.yelp.com/biz/u-crew-ridgewood?osq=boba,https://www.google.com/search?q=U-CrewN/A,3.8,4,N/A,"U-Crew
56-23 Myrtle Ave
Ridgewood, NY 11385</span></p></address"
Mango Mango Dessert,https://www.yelp.com/biz/mango-mango-dessert-new-york-9?osq=boba,https://www.google.com/search?q=Mango+Mango+Dessert63+Bayard+St+New+York+NY+10013,4.1,789,"63 Bayard St, New York, NY 10013","Mango Mango Dessert
63 Bayard St
New York, NY 10013"
Squarrel Cafe,https://www.yelp.com/biz/squarrel-cafe-brooklyn?osq=boba,https://www.google.com/search?q=Squarrel+Cafe572+Atlantic+Ave+Brooklyn+NY+11217,4.6,99,"572 Atlantic Ave, Brooklyn, NY 11217","Squarrel Cafe
572 Atlantic Ave
Brooklyn, NY 11217"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-brooklyn-5?osq=boba,https://www.google.com/search?q=ViVi+Bubble+TeaN/A,4.0,47,N/A,"ViVi Bubble Tea
113 Court St
Ste A</span></p><p class="" css-1sb02f4"""
Purple Rice,https://www.yelp.com/biz/purple-rice-hoboken?osq=boba,https://www.google.com/search?q=Purple+RiceN/A,5.0,6,N/A,"Purple Rice
832 Washington St
Ste A</span></p><p class="" css-1sb02f4"""
Gong Cha - Brooklyn,https://www.yelp.com/biz/gong-cha-brooklyn-brooklyn?osq=boba,https://www.google.com/search?q=Gong+Cha+-+Brooklyn108+Meserole+Ave+Brooklyn+NY+11222,4.8,6,"108 Meserole Ave, Brooklyn, NY 11222","Gong Cha - Brooklyn
108 Meserole Ave
Brooklyn, NY 11222"
M Tea,https://www.yelp.com/biz/m-tea-long-island-city?osq=boba,https://www.google.com/search?q=M+TeaN/A,4.3,39,N/A,"M Tea
2301 41st Ave
Store 1D</span></p><p class="" css-1sb02"
Sundaes Best,https://www.yelp.com/biz/sundaes-best-new-york?osq=boba,https://www.google.com/search?q=Sundaes+Best315+5th+Ave+New+York+NY+10016,4.7,127,"315 5th Ave, New York, NY 10016","Sundaes Best
315 5th Ave
New York, NY 10016"
Yaya Tea - Downtown Brooklyn,https://www.yelp.com/biz/yaya-tea-downtown-brooklyn-brooklyn?osq=boba,https://www.google.com/search?q=Yaya+Tea+-+Downtown+Brooklyn80+Dekalb+Ave+Brooklyn+NY+11201,3.6,25,"80 Dekalb Ave, Brooklyn, NY 11201","Yaya Tea - Downtown Brooklyn
80 Dekalb Ave
Brooklyn, NY 11201"
Yaya Tea Garden,https://www.yelp.com/biz/yaya-tea-garden-new-york-3?osq=boba,https://www.google.com/search?q=Yaya+Tea+Garden51+Chrystie+St+New+York+NY+10002,4.1,538,"51 Chrystie St, New York, NY 10002","Yaya Tea Garden
51 Chrystie St
New York, NY 10002"
Ten Ichi Mart,https://www.yelp.com/biz/ten-ichi-mart-brooklyn-2?osq=boba,https://www.google.com/search?q=Ten+Ichi+Mart118+Smith+St+Brooklyn+NY+11201,4.4,50,"118 Smith St, Brooklyn, NY 11201","Ten Ichi Mart
118 Smith St
Brooklyn, NY 11201"
Wang Lao Ji Herbal Tea Museum,https://www.yelp.com/biz/wang-lao-ji-herbal-tea-museum-new-york?osq=boba,https://www.google.com/search?q=Wang+Lao+Ji+Herbal+Tea+Museum221+Grand+St+New+York+NY+10013,4.3,56,"221 Grand St, New York, NY 10013","Wang Lao Ji Herbal Tea Museum
221 Grand St
New York, NY 10013"
Heuk Hwa Dang,https://www.yelp.com/biz/heuk-hwa-dang-new-york?osq=boba,https://www.google.com/search?q=Heuk+Hwa+Dang34+W+32nd+St+New+York+NY+10001,3.8,127,"34 W 32nd St, New York, NY 10001","Heuk Hwa Dang
34 W 32nd St
New York, NY 10001"
The Alley,https://www.yelp.com/biz/the-alley-flushing-2?osq=boba,https://www.google.com/search?q=The+Alley38-02+Prince+St+Flushing+NY+11354,4.0,551,"38-02 Prince St, Flushing, NY 11354","The Alley
38-02 Prince St
Flushing, NY 11354"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-brooklyn-7?osq=boba,https://www.google.com/search?q=ViVi+Bubble+Tea790+Manhattan+Ave+Brooklyn+NY+11222,4.2,87,"790 Manhattan Ave, Brooklyn, NY 11222","ViVi Bubble Tea
790 Manhattan Ave
Brooklyn, NY 11222"
Up Wind Milk Tea Bar,https://www.yelp.com/biz/up-wind-milk-tea-bar-brooklyn?osq=boba,https://www.google.com/search?q=Up+Wind+Milk+Tea+Bar5901+8th+Ave+brooklyn+NY+11220,4.0,5,"5901 8th Ave, brooklyn, NY 11220","Up Wind Milk Tea Bar
5901 8th Ave
brooklyn, NY 11220"
Xing Fu Tang,https://www.yelp.com/biz/xing-fu-tang-new-york-5?osq=boba,https://www.google.com/search?q=Xing+Fu+Tang10+Hudson+Yards+New+York+NY+10001,3.3,25,"10 Hudson Yards, New York, NY 10001","Xing Fu Tang
10 Hudson Yards
New York, NY 10001"
Ten Ren&#x27;s Tea,https://www.yelp.com/biz/ten-rens-tea-new-york?osq=boba,https://www.google.com/search?q=Ten+Ren&#x27;s+Tea73+Mott+St+New+York+NY+10013,3.8,682,"73 Mott St, New York, NY 10013","Ten Ren&#x27;s Tea
73 Mott St
New York, NY 10013"
Gong Cha,https://www.yelp.com/biz/gong-cha-new-york-9?osq=boba,https://www.google.com/search?q=Gong+Cha75+W+38th+St+New+York+NY+10018,3.8,440,"75 W 38th St, New York, NY 10018","Gong Cha
75 W 38th St
New York, NY 10018"
Soft Swerve,https://www.yelp.com/biz/soft-swerve-new-york-2?osq=boba,https://www.google.com/search?q=Soft+Swerve85B+Allen+St+New+York+NY+10002,4.3,N/A,"85B Allen St, New York, NY 10002","Soft Swerve
85B Allen St
New York, NY 10002"
Jooy Tea Shoppe,https://www.yelp.com/biz/jooy-tea-shoppe-brooklyn-2?osq=boba,https://www.google.com/search?q=Jooy+Tea+Shoppe6008+8th+Ave+Brooklyn+NY+11220,4.1,30,"6008 8th Ave, Brooklyn, NY 11220","Jooy Tea Shoppe
6008 8th Ave
Brooklyn, NY 11220"
Roam Cafe &amp; Gallery,https://www.yelp.com/biz/roam-cafe-and-gallery-long-island-city?osq=boba,https://www.google.com/search?q=Roam+Cafe+&amp;+GalleryN/A,4.4,80,N/A,"Roam Cafe &amp; Gallery
41-14 27th St
Long Island City, NY 11101</span></p></"
Yaya Tea Grand,https://www.yelp.com/biz/yaya-tea-grand-new-york-2?osq=boba,https://www.google.com/search?q=Yaya+Tea+Grand206+Grand+St+New+York+NY+10013,4.0,336,"206 Grand St, New York, NY 10013","Yaya Tea Grand
206 Grand St
New York, NY 10013"
Möge Tee,https://www.yelp.com/biz/m%C3%B6ge-tee-long-island-city?osq=boba,https://www.google.com/search?q=Möge+TeeN/A,3.8,154,N/A,"Möge Tee
42-32 Crescent St
Long Island City, NY 11101</span></p></"
Tiger Tai,https://www.yelp.com/biz/tiger-tai-new-york?osq=boba,https://www.google.com/search?q=Tiger+TaiBroadway+New+York+NY+10010,4.0,3,"Broadway, New York, NY 10010","Tiger Tai
Broadway
New York, NY 10010"
Tora Tea,https://www.yelp.com/biz/tora-tea-new-york?osq=boba,https://www.google.com/search?q=Tora+Tea289+Mercer+St+New+York+NY+10003,4.0,1,"289 Mercer St, New York, NY 10003","Tora Tea
289 Mercer St
New York, NY 10003"
Solely Tea,https://www.yelp.com/biz/solely-tea-new-york?osq=boba,https://www.google.com/search?q=Solely+Tea111+Eldridge+St+New+York+NY+10002,4.3,15,"111 Eldridge St, New York, NY 10002","Solely Tea
111 Eldridge St
New York, NY 10002"
Mochi Dolci,https://www.yelp.com/biz/mochi-dolci-new-york?osq=boba,https://www.google.com/search?q=Mochi+Dolci222+W+79th+St+New+York+NY+10024,3.8,36,"222 W 79th St, New York, NY 10024","Mochi Dolci
222 W 79th St
New York, NY 10024"
Teazzi Tea Shop,https://www.yelp.com/biz/teazzi-tea-shop-jersey-city?osq=boba,https://www.google.com/search?q=Teazzi+Tea+ShopN/A,4.5,4,N/A,"Teazzi Tea Shop
153 Morgan St
New York, NY 10024"
YiFang Taiwan Fruit Tea,https://www.yelp.com/biz/yifang-taiwan-fruit-tea-new-york-8?osq=boba,https://www.google.com/search?q=YiFang+Taiwan+Fruit+Tea61+Lexington+Ave+New+York+NY+10010,3.6,19,"61 Lexington Ave, New York, NY 10010","YiFang Taiwan Fruit Tea
61 Lexington Ave
New York, NY 10010"
About Time Coffee,https://www.yelp.com/biz/about-time-coffee-new-york-5?osq=boba,https://www.google.com/search?q=About+Time+Coffee1450+Broadway+New+York+NY+10018,3.9,37,"1450 Broadway, New York, NY 10018","About Time Coffee
1450 Broadway
New York, NY 10018"
Pearl Dynastea,https://www.yelp.com/biz/pearl-dynastea-bronx?osq=boba,https://www.google.com/search?q=Pearl+Dynastea3702+Riverdale+Ave+Bronx+NY+10463,4.7,39,"3702 Riverdale Ave, Bronx, NY 10463","Pearl Dynastea
3702 Riverdale Ave
Bronx, NY 10463"
Kung Fu Tea,https://www.yelp.com/biz/kung-fu-tea-brooklyn-3?osq=boba,https://www.google.com/search?q=Kung+Fu+Tea40+Hoyt+St+Brooklyn+NY+11201,4.1,129,"40 Hoyt St, Brooklyn, NY 11201","Kung Fu Tea
40 Hoyt St
Brooklyn, NY 11201"
Sippy Cafe,https://www.yelp.com/biz/sippy-cafe-brooklyn-3?osq=boba,https://www.google.com/search?q=Sippy+Cafe153+Remsen+St+Brooklyn+NY+11201,4.3,16,"153 Remsen St, Brooklyn, NY 11201","Sippy Cafe
153 Remsen St
Brooklyn, NY 11201"
Kung Fu Tea,https://www.yelp.com/biz/kung-fu-tea-new-york-10?osq=boba,https://www.google.com/search?q=Kung+Fu+TeaN/A,4.3,223,N/A,"Kung Fu Tea
31 Waverly Pl
Unit 5</span></p><p class="" css-1sb02f4"
Chun Yang Tea,https://www.yelp.com/biz/chun-yang-tea-flushing-2?osq=boba,https://www.google.com/search?q=Chun+Yang+Tea133-41+41st+Ave+Flushing+NY+11355,4.4,222,"133-41 41st Ave, Flushing, NY 11355","Chun Yang Tea
133-41 41st Ave
Flushing, NY 11355"
See You Tomorrow Cafe,https://www.yelp.com/biz/see-you-tomorrow-cafe-brooklyn?osq=boba,https://www.google.com/search?q=See+You+Tomorrow+CafeN/A,4.6,13,N/A,"See You Tomorrow Cafe
19 Bogart St
Ste 3</span></p><p class="" css-1sb02f4"""
Dragon Bing,https://www.yelp.com/biz/dragon-bing-new-york?osq=boba,https://www.google.com/search?q=Dragon+Bing115+Delancey+St+New+York+NY+10002,4.3,30,"115 Delancey St, New York, NY 10002","Dragon Bing
115 Delancey St
New York, NY 10002"
Top Thai Vintage,https://www.yelp.com/biz/top-thai-vintage-new-york-3?osq=boba,https://www.google.com/search?q=Top+Thai+Vintage55+Carmine+St+New+York+NY+10014,4.5,N/A,"55 Carmine St, New York, NY 10014","Top Thai Vintage
55 Carmine St
New York, NY 10014"
Chun Yang Tea,https://www.yelp.com/biz/chun-yang-tea-brooklyn-2?osq=boba,https://www.google.com/search?q=Chun+Yang+Tea6016+8th+Ave+Brooklyn+NY+11220,4.0,55,"6016 8th Ave, Brooklyn, NY 11220","Chun Yang Tea
6016 8th Ave
Brooklyn, NY 11220"
The Whale Tea Brooklyn 琉璃鯨,https://www.yelp.com/biz/the-whale-tea-brooklyn-%E7%90%89%E7%92%83%E9%AF%A8-brooklyn?osq=boba,https://www.google.com/search?q=The+Whale+Tea+Brooklyn+琉璃鯨6511+Bay+Pkwy+Brooklyn+NY+11204,3.9,16,"6511 Bay Pkwy, Brooklyn, NY 11204","The Whale Tea Brooklyn 琉璃鯨
6511 Bay Pkwy
Brooklyn, NY 11204"
Boba Fries,https://www.yelp.com/biz/boba-fries-elmhurst?osq=boba,https://www.google.com/search?q=Boba+Fries8121+Broadway+Elmhurst+NY+11373,4.5,104,"8121 Broadway, Elmhurst, NY 11373","Boba Fries
8121 Broadway
Elmhurst, NY 11373"
Bites &amp; Sips,https://www.yelp.com/biz/bites-and-sips-brooklyn?osq=boba,https://www.google.com/search?q=Bites+&amp;+Sips146+Knickerbocker+Ave+Brooklyn+NY+11237,5.0,4,"146 Knickerbocker Ave, Brooklyn, NY 11237","Bites &amp; Sips
146 Knickerbocker Ave
Brooklyn, NY 11237"
Sip N&#x27; Play,https://www.yelp.com/biz/sip-n-play-brooklyn?osq=boba,https://www.google.com/search?q=Sip+N&#x27;+Play471+5th+Ave+Brooklyn+NY+11228,4.6,81,"471 5th Ave, Brooklyn, NY 11228","Sip N&#x27; Play
471 5th Ave
Brooklyn, NY 11228"
Dragon Tea,https://www.yelp.com/biz/dragon-tea-brooklyn?osq=boba,https://www.google.com/search?q=Dragon+Tea232+Atlantic+Ave+Brooklyn+NY+11201,3.4,16,"232 Atlantic Ave, Brooklyn, NY 11201","Dragon Tea
232 Atlantic Ave
Brooklyn, NY 11201"
Black Pearl,https://www.yelp.com/biz/black-pearl-brooklyn-2?osq=boba,https://www.google.com/search?q=Black+Pearl6823+3rd+Ave+Brooklyn+NY+11220,4.3,16,"6823 3rd Ave, Brooklyn, NY 11220","Black Pearl
6823 3rd Ave
Brooklyn, NY 11220"
Tiger Sugar,https://www.yelp.com/biz/tiger-sugar-new-york-11?osq=boba,https://www.google.com/search?q=Tiger+SugarN/A,3.3,15,N/A,"Tiger Sugar
129 E 45th St
Store 4</span></p><p class="" css-1sb02f"
Yummy Boba &amp; Desserts,https://www.yelp.com/biz/yummy-boba-and-desserts-brooklyn?osq=boba,https://www.google.com/search?q=Yummy+Boba+&amp;+Desserts7802+New+Utrecht+Ave+Brooklyn+NY+11214,4.5,2,"7802 New Utrecht Ave, Brooklyn, NY 11214","Yummy Boba &amp; Desserts
7802 New Utrecht Ave
Brooklyn, NY 11214"
Chun Yang Tea - Staten Island,https://www.yelp.com/biz/chun-yang-tea-staten-island-staten-island-2?osq=boba,https://www.google.com/search?q=Chun+Yang+Tea+-+Staten+IslandN/A,4.6,39,N/A,"Chun Yang Tea - Staten Island
324 New Dorp Ln
Staten Island, NY 10306</span></p></add"
Tea Time,https://www.yelp.com/biz/tea-time-new-york-4?osq=boba,https://www.google.com/search?q=Tea+Time157+3rd+Ave+New+York+NY+10003,4.7,40,"157 3rd Ave, New York, NY 10003","Tea Time
157 3rd Ave
New York, NY 10003"
iCha Boba,https://www.yelp.com/biz/icha-boba-new-york?osq=boba,https://www.google.com/search?q=iCha+BobaN/A,4.6,38,N/A,"iCha Boba
12-07 Jackson Ave
Store A</span></p><p class="" css-1sb02f"
Hanco&#x27;s,https://www.yelp.com/biz/hancos-brooklyn?osq=boba,https://www.google.com/search?q=Hanco&#x27;s134+Smith+St+Brooklyn+NY+11201,4.1,726,"134 Smith St, Brooklyn, NY 11201","Hanco&#x27;s
134 Smith St
Brooklyn, NY 11201"
YOI Ramen &amp; Tea,https://www.yelp.com/biz/yoi-ramen-and-tea-new-york?osq=boba,https://www.google.com/search?q=YOI+Ramen+&amp;+Tea573+2nd+Ave+New+York+NY+10016,4.2,29,"573 2nd Ave, New York, NY 10016","YOI Ramen &amp; Tea
573 2nd Ave
New York, NY 10016"
Korean BTS Market,https://www.yelp.com/biz/korean-bts-market-brooklyn?osq=boba,https://www.google.com/search?q=Korean+BTS+Market512+Nostrand+Ave+Brooklyn+NY+11216,4.7,25,"512 Nostrand Ave, Brooklyn, NY 11216","Korean BTS Market
512 Nostrand Ave
Brooklyn, NY 11216"
Kung Fu Tea,https://www.yelp.com/biz/kung-fu-tea-new-york-35?osq=boba,https://www.google.com/search?q=Kung+Fu+Tea28+St+Marks+Pl+New+York+NY+10003,4.3,268,"28 St Marks Pl, New York, NY 10003","Kung Fu Tea
28 St Marks Pl
New York, NY 10003"
Yi Fang Taiwan Fruit Tea,https://www.yelp.com/biz/yi-fang-taiwan-fruit-tea-long-island-city?osq=boba,https://www.google.com/search?q=Yi+Fang+Taiwan+Fruit+TeaN/A,3.9,117,N/A,"Yi Fang Taiwan Fruit Tea
44-68 21st St
Long Island City, NY 11101</span></p></"
Yifang Taiwan Fruit Tea,https://www.yelp.com/biz/yifang-taiwan-fruit-tea-new-york-9?osq=boba,https://www.google.com/search?q=Yifang+Taiwan+Fruit+Tea67+Bayard+St+New+York+NY+10013,3.5,153,"67 Bayard St, New York, NY 10013","Yifang Taiwan Fruit Tea
67 Bayard St
New York, NY 10013"
Elan Cafe + Bubbleology,https://www.yelp.com/biz/elan-cafe-bubbleology-newark?osq=boba,https://www.google.com/search?q=Elan+Cafe+++BubbleologyN/A,4.4,7,N/A,"Elan Cafe + Bubbleology
87 Halsey St
New York, NY 10013"
ÜMACHA,https://www.yelp.com/biz/%C3%BCmacha-edgewater?osq=boba,https://www.google.com/search?q=ÜMACHAN/A,4.3,165,N/A,"ÜMACHA
595 River Rd
New York, NY 10013"
Tea and Milk,https://www.yelp.com/biz/tea-and-milk-new-york-2?osq=boba,https://www.google.com/search?q=Tea+and+MilkN/A,4.4,79,N/A,"Tea and Milk
75 9th Ave Lower Level
Chelsea Market</span></p><p class="" css"
Möge Tee,https://www.yelp.com/biz/m%C3%B6ge-tee-new-york-2?osq=boba,https://www.google.com/search?q=Möge+Tee90+Canal+Street+New+York+NY+10002,3.8,118,"90 Canal Street, New York, NY 10002","Möge Tee
90 Canal Street
New York, NY 10002"
Gong Cha,https://www.yelp.com/biz/gong-cha-brooklyn-8?osq=boba,https://www.google.com/search?q=Gong+Cha313+9th+St+Brooklyn+NY+11215,4.0,16,"313 9th St, Brooklyn, NY 11215","Gong Cha
313 9th St
Brooklyn, NY 11215"
Chinatown Ice Cream Factory,https://www.yelp.com/biz/chinatown-ice-cream-factory-new-york?osq=boba,https://www.google.com/search?q=Chinatown+Ice+Cream+Factory65+Bayard+St+New+York+NY+10013,4.2,N/A,"65 Bayard St, New York, NY 10013","Chinatown Ice Cream Factory
65 Bayard St
New York, NY 10013"
Pila de Boba,https://www.yelp.com/biz/pila-de-boba-new-york?osq=boba,https://www.google.com/search?q=Pila+de+Boba328+E+14th+St+New+York+NY+10003,3.8,37,"328 E 14th St, New York, NY 10003","Pila de Boba
328 E 14th St
New York, NY 10003"
Tidal Tea,https://www.yelp.com/biz/tidal-tea-new-york-2?osq=boba,https://www.google.com/search?q=Tidal+Tea1520+Amsterdam+Ave+New+York+NY+10031,4.3,103,"1520 Amsterdam Ave, New York, NY 10031","Tidal Tea
1520 Amsterdam Ave
New York, NY 10031"
Moge Tee,https://www.yelp.com/biz/moge-tee-new-york-28?osq=boba,https://www.google.com/search?q=Moge+Tee971+Amsterdam+Ave+New+York+NY+10025,4.2,6,"971 Amsterdam Ave, New York, NY 10025","Moge Tee
971 Amsterdam Ave
New York, NY 10025"
Yaya Tea Garden,https://www.yelp.com/biz/yaya-tea-garden-new-york-9?osq=boba,https://www.google.com/search?q=Yaya+Tea+Garden284+3rd+Ave+New+York+NY+10010,3.7,108,"284 3rd Ave, New York, NY 10010","Yaya Tea Garden
284 3rd Ave
New York, NY 10010"
